"","COUNTY_ID","COUNTY","TOWN_ID","TOWN","V_ID","VILLAGE","H_CNT","P_CNT","M_CNT","F_CNT","INFO_TIME","M_F_RAT","P_H_CNT","P_DEN","DEPENDENCY_RAT","A0A14_A15A65_RAT","A65UP_A15A64_RAT","A65_A0A14_RAT","COLLEGE_COUNT","COLLEGE_RATE","MARRIAGED_COUNT","MARRIAGED_RATE","A0_A19_COUNT","A20_A39_COUNT","A40_A59_COUNT","A60_A79_COUNT","A80up_COUNT","A0_A19_COUNT_RATE","A20_A39_COUNT_RATE","A40_A59_COUNT_RATE","A60_A79_COUNT_RATE","A80up_COUNT_RATE","FLD04"
"1","63000","臺北市","63000010","松山區","63000010-002","莊敬里","2071","5488","2645","2843","107Y06M","93.04","2.65","4173.94","45.3","17.24","28.06","162.83",2755,50.2004373177842,2551,46.4832361516035,920,1433,1656,1242,237,16.7638483965015,26.1115160349854,30.1749271137026,22.631195335277,4.31851311953353,"729"
"2","63000","臺北市","63000010","松山區","63000010-003","東榮里","3049","8344","3863","4481","107Y06M","86.21","2.74","32402.75","55.76","24.85","30.91","124.42",5237,62.7636625119847,4067,48.741610738255,1766,1909,2425,1889,355,21.1649089165868,22.8787152444871,29.0627996164909,22.6390220517737,4.25455417066155,"919"
"3","63000","臺北市","63000010","松山區","63000010-004","三民里","2937","7053","3266","3787","107Y06M","86.24","2.4","53383.29","51.12","19.18","31.95","166.59",4427,62.7676166170424,3379,47.9086913370197,1233,1678,2133,1648,361,17.4819225861336,23.7912944846165,30.2424500212675,23.365943570112,5.11838933787041,"790"
"4","63000","臺北市","63000010","松山區","63000010-005","新益里","1849","4724","2257","2467","107Y06M","91.49","2.55","40890.52","45.26","16.88","28.38","168.12",2639,55.8636748518205,2290,48.4758679085521,759,1258,1417,1094,196,16.0668924640135,26.6299745977985,29.995766299746,23.1583403895004,4.14902624894158,"724"
"5","63000","臺北市","63000010","松山區","63000010-006","富錦里","2136","5368","2468","2900","107Y06M","85.1","2.51","53073.37","49.78","20.65","29.13","141.08",3224,60.0596125186289,2505,46.6654247391952,988,1383,1550,1238,209,18.4053651266766,25.7637853949329,28.8748137108793,23.0625931445604,3.89344262295082,"802"
"6","63000","臺北市","63000010","松山區","63000010-007","新東里","2029","5171","2442","2729","107Y06M","89.48","2.55","14729.63","48.89","21.08","27.81","131.97",2905,56.1786888416167,2487,48.0951460065751,948,1359,1506,1158,200,18.333011023013,26.2811835234964,29.1239605492168,22.3941210597563,3.8677238445175,"770"
"7","63000","臺北市","63000010","松山區","63000010-008","富泰里","2036","4799","2096","2703","107Y06M","77.54","2.36","83039.17","47.98","19.52","28.46","145.81",2972,61.9295686601375,2229,46.4471764951032,862,1141,1550,1022,224,17.9620754323817,23.775786622213,32.2983954990623,21.2961033548656,4.66763909147739,"820"
"8","63000","臺北市","63000010","松山區","63000010-009","介壽里","1797","4825","2269","2556","107Y06M","88.77","2.69","33965.72","59.77","30.89","28.87","93.46",2828,58.6113989637306,2300,47.6683937823834,1179,1027,1444,975,200,24.4352331606218,21.2849740932642,29.9274611398964,20.2072538860104,4.14507772020725,"915"
"9","63000","臺北市","63000010","松山區","63000010-010","精忠里","1768","4630","2150","2480","107Y06M","86.69","2.62","2058.17","56.68","27.14","29.54","108.85",2836,61.2526997840173,2200,47.5161987041037,1043,1049,1341,985,212,22.5269978401728,22.6565874730022,28.963282937365,21.2742980561555,4.57883369330454,"957"
"10","63000","臺北市","63000010","松山區","63000010-011","東光里","3027","7268","3410","3858","107Y06M","88.39","2.4","38332.12","46.65","14.87","31.78","213.7",4547,62.5619152449092,3507,48.2526141992295,1077,1798,2216,1755,422,14.8183819482664,24.7385800770501,30.4898183819483,24.1469455145845,5.8062740781508,"802"
"11","63000","臺北市","63000010","松山區","63000010-012","龍田里","4316","11227","5220","6007","107Y06M","86.9","2.6","49737.95","57.9","32.28","25.63","79.39",6800,60.5682729135121,5304,47.2432528725394,2936,2241,3667,1899,484,26.1512425403046,19.9608087645854,32.6623318785072,16.914580920994,4.3110358956088,"1037"
"12","63000","臺北市","63000010","松山區","63000010-013","東昌里","1065","2939","1369","1570","107Y06M","87.2","2.76","55073.55","59.64","29.77","29.88","100.36",1719,58.4892820687309,1359,46.2402177611432,704,649,855,604,127,23.9537257570602,22.0823409322899,29.0915277305206,20.5512078938414,4.32119768628785,"898"
"13","63000","臺北市","63000010","松山區","63000010-014","東勢里","1823","4565","2129","2436","107Y06M","87.4","2.5","49918.53","56.55","24.83","31.72","127.76",2635,57.7217962760132,2148,47.0536692223439,960,1019,1328,1034,224,21.0295728368018,22.3220153340635,29.0909090909091,22.6506024096386,4.90690032858708,"797"
"14","63000","臺北市","63000010","松山區","63000010-015","中華里","2555","6723","3132","3591","107Y06M","87.22","2.63","34266.58","56.93","28.17","28.76","102.07",4215,62.6952253458278,3258,48.4605087014726,1574,1487,1950,1413,299,23.4121671872676,22.1181020377808,29.0049085229808,21.0174029451138,4.44741930685706,"975"
"15","63000","臺北市","63000010","松山區","63000010-016","民有里","3513","9058","4176","4882","107Y06M","85.54","2.58","33317.76","51.32","18.19","33.13","182.09",5722,63.1706778538309,4380,48.3550452638552,1463,2283,2592,2334,386,16.1514683153014,25.2042393464341,28.615588430117,25.7672775447119,4.26142636343564,"838"
"16","63000","臺北市","63000010","松山區","63000010-017","民福里","2671","6488","3073","3415","107Y06M","89.99","2.43","30432.23","42.78","13.8","28.98","210.05",3749,57.7836004932182,3054,47.0715166461159,893,1740,1971,1573,311,13.7638717632552,26.8187422934649,30.3791615289766,24.2447595561036,4.79346485819975,"703"
"17","63000","臺北市","63000010","松山區","63000010-018","慈祐里","4076","8141","4053","4088","107Y06M","99.14","2.","25743.27","36.82","13.39","23.43","174.91",4003,49.1708635302788,3329,40.8917823363223,1107,2274,2714,1676,370,13.5978381034271,27.9326864021619,33.3374278344184,20.5871514555951,4.54489620439749,"670"
"18","63000","臺北市","63000010","松山區","63000010-019","安平里","3590","8548","4081","4467","107Y06M","91.36","2.38","40824.51","40.5","15.58","24.92","159.92",4580,53.5797847449696,3908,45.7182966775854,1326,2492,2588,1748,394,15.5124005615349,29.153018249883,30.276087973795,20.4492278895648,4.60926532522227,"672"
"19","63000","臺北市","63000010","松山區","63000010-020","鵬程里","2152","5555","2681","2874","107Y06M","93.28","2.58","42966.76","36.76","14.18","22.58","159.2",3211,57.8037803780378,2525,45.4545454545455,876,1528,1743,1177,231,15.7695769576958,27.5067506750675,31.3771377137714,21.1881188118812,4.15841584158416,"746"
"20","63000","臺北市","63000010","松山區","63000010-021","自強里","3858","10204","4814","5390","107Y06M","89.31","2.64","65421.16","49.55","20.09","29.46","146.61",6215,60.9074872598981,4819,47.2265778126225,1888,2381,3244,2061,630,18.5025480203842,23.3339866718934,31.7914543316347,20.1979615836927,6.17404939239514,"828"
"21","63000","臺北市","63000010","松山區","63000010-022","吉祥里","3438","8685","4056","4629","107Y06M","87.62","2.53","40331.19","44.7","17.08","27.62","161.76",5323,61.2895797351756,4269,49.153713298791,1419,2393,2485,2033,355,16.3385146804836,27.5532527345999,28.6125503742084,23.4081750143926,4.08750719631549,"762"
"22","63000","臺北市","63000010","松山區","63000010-024","新聚里","3365","8269","3837","4432","107Y06M","86.57","2.46","53813.26","41.57","16.9","24.67","146.",4739,57.3104365703229,3826,46.2691982101826,1364,2363,2427,1799,316,16.4953440561132,28.5766114403193,29.3505865279961,21.7559559801669,3.82150199540452,"727"
"23","63000","臺北市","63000010","松山區","63000010-025","復盛里","2563","6603","3117","3486","107Y06M","89.41","2.58","40500.26","45.86","18.16","27.7","152.55",3684,55.7928214447978,3065,46.4182947145237,1139,1813,1906,1430,315,17.2497349689535,27.4572164167802,28.8656671210056,21.6568226563683,4.77055883689232,"728"
"24","63000","臺北市","63000010","松山區","63000010-026","中正里","3946","10651","4976","5675","107Y06M","87.68","2.7","29822.79","54.65","34.41","20.24","58.82",6078,57.06506431321,4863,45.657684724439,3003,2390,3282,1657,319,28.1945357243451,22.4392075861421,30.8140080743592,15.5572246737396,2.99502394141395,"998"
"25","63000","臺北市","63000010","松山區","63000010-027","中崙里","1729","4519","2104","2415","107Y06M","87.12","2.61","47881.92","50.99","31.11","19.88","63.91",2413,53.3967691967249,2040,45.1427306926311,1186,1055,1450,658,170,26.2447444124806,23.345872980748,32.0867448550564,14.5607435273291,3.76189422438593,"835"
"26","63000","臺北市","63000010","松山區","63000010-028","美仁里","1362","3772","1784","1988","107Y06M","89.74","2.77","17253.76","57.04","30.18","26.85","88.97",2037,54.0031813361612,1773,47.0042417815483,923,831,1133,730,155,24.4697773064687,22.0307529162248,30.0371155885472,19.3531283138918,4.10922587486744,"872"
"27","63000","臺北市","63000010","松山區","63000010-029","吉仁里","1565","4202","1978","2224","107Y06M","88.94","2.68","67205.12","53.86","27.28","26.58","97.45",2365,56.282722513089,1925,45.8115183246073,955,984,1274,816,173,22.7272727272727,23.417420276059,30.3188957639219,19.419324131366,4.11708710138029,"824"
"28","63000","臺北市","63000010","松山區","63000010-030","敦化里","2592","7400","3514","3886","107Y06M","90.43","2.85","52199.8","53.81","27.87","25.94","93.06",4179,56.472972972973,3415,46.1486486486486,1713,1785,2172,1429,301,23.1486486486486,24.1216216216216,29.3513513513514,19.3108108108108,4.06756756756757,"855"
"29","63000","臺北市","63000010","松山區","63000010-031","復源里","1256","3428","1643","1785","107Y06M","92.04","2.73","63667.77","53.52","28.48","25.03","87.89",1854,54.0840140023337,1575,45.9451575262544,829,783,1047,623,146,24.1831971995333,22.8413068844807,30.5425904317386,18.1738623103851,4.25904317386231,"807"
"30","63000","臺北市","63000010","松山區","63000010-032","復建里","1833","4794","2285","2509","107Y06M","91.07","2.62","53882.73","50.09","27.02","23.07","85.4",2715,56.6332916145181,2229,46.4956195244055,1117,1088,1585,837,167,23.2999582811848,22.6950354609929,33.0621610346266,17.459324155194,3.48352106800167,"872"
"31","63000","臺北市","63000010","松山區","63000010-033","復勢里","2624","6637","3040","3597","107Y06M","84.51","2.53","51469.96","50.46","24.46","26.","106.3",3805,57.3301190296821,3074,46.3161066747024,1398,1639,2006,1287,307,21.0637336145849,24.6948922706042,30.2244990206419,19.3912912460449,4.62558384812415,"794"
"32","63000","臺北市","63000010","松山區","63000010-034","福成里","1002","2779","1268","1511","107Y06M","83.92","2.77","35524.36","54.22","24.53","29.69","121.04",1713,61.640878013674,1317,47.3911478949262,591,641,820,575,152,21.266642677222,23.0658510255488,29.5070169125585,20.6908960057575,5.46959337891328,"883"
"33","63000","臺北市","63000010","松山區","63000010-035","松基里","1474","3706","1706","2000","107Y06M","85.3","2.51","21017.41","46.48","17.39","29.09","167.27",2189,59.066378845116,1790,48.3000539665407,592,992,1039,901,182,15.9740960604425,26.7674042093902,28.0356179168915,24.3119266055046,4.91095520777118,"814"
"34","63000","臺北市","63000020","信義區","63000020-001","西村里","2922","5954","3060","2894","107Y06M","105.74","2.04","11604.43","50.62","15.89","34.73","218.63",3405,57.1884447430299,2424,40.712126301646,835,1357,1854,1522,386,14.0241854215653,22.791400738999,31.1387302653678,25.5626469600269,6.48303661404098,"755"
"35","63000","臺北市","63000020","信義區","63000020-002","正和里","1940","4840","2217","2623","107Y06M","84.52","2.49","65024.05","51.91","21.81","30.1","137.99",3005,62.0867768595041,2373,49.0289256198347,948,1092,1477,1099,224,19.5867768595041,22.5619834710744,30.5165289256198,22.7066115702479,4.62809917355372,"782"
"36","63000","臺北市","63000020","信義區","63000020-003","興隆里","1257","2984","1383","1601","107Y06M","86.38","2.37","11058.53","56.56","20.72","35.83","172.91",1775,59.4839142091153,1349,45.2077747989276,526,686,883,718,171,17.627345844504,22.9892761394102,29.5911528150134,24.0616621983914,5.73056300268096,"806"
"37","63000","臺北市","63000020","信義區","63000020-004","中興里","1750","3596","1589","2007","107Y06M","79.17","2.05","43965.18","45.12","17.59","27.52","156.42",2246,62.4582869855395,1656,46.0511679644049,568,941,1130,789,168,15.7953281423804,26.1679644048943,31.4238042269188,21.9410456062291,4.67185761957731,"794"
"38","63000","臺北市","63000020","信義區","63000020-005","新仁里","1383","3496","1637","1859","107Y06M","88.06","2.53","6064.79","50.04","20.64","29.4","142.41",2222,63.558352402746,1708,48.8558352402746,663,857,1039,776,161,18.9645308924485,24.5137299771167,29.7196796338673,22.1967963386728,4.60526315789474,"847"
"39","63000","臺北市","63000020","信義區","63000020-006","興雅里","2462","5913","2761","3152","107Y06M","87.6","2.4","23734.98","48.31","16.8","31.5","187.46",3487,58.9717571452731,2862,48.4018264840183,939,1487,1796,1388,303,15.8802638254693,25.1479790292576,30.373752748182,23.4737020125148,5.12430238457636,"728"
"40","63000","臺北市","63000020","信義區","63000020-007","敦厚里","2299","5354","2480","2874","107Y06M","86.29","2.33","48486.28","42.7","17.59","25.11","142.73",3240,60.5155024280912,2559,47.7960403436683,856,1538,1693,1051,216,15.988046320508,28.7261860291371,31.6212177810982,19.6301830407172,4.03436682853941,"758"
"41","63000","臺北市","63000020","信義區","63000020-008","廣居里","3141","8303","3880","4423","107Y06M","87.72","2.64","49696.54","48.91","25.02","23.89","95.48",4833,58.2078766710827,3878,46.7060098759485,1769,2095,2499,1622,318,21.3055522100446,25.2318439118391,30.0975551005661,19.5351077923642,3.82994098518608,"838"
"42","63000","臺北市","63000020","信義區","63000020-009","安康里","4424","11156","5268","5888","107Y06M","89.47","2.52","22226.21","51.7","27.89","23.81","85.37",6552,58.7307278594478,5317,47.6604517748297,2616,2793,3239,2158,350,23.4492649695231,25.0358551452133,29.0337038365005,19.3438508425959,3.13732520616709,"968"
"43","63000","臺北市","63000020","信義區","63000020-010","六藝里","1405","3892","1892","2000","107Y06M","94.6","2.77","60998.35","43.78","21.54","22.24","103.26",1902,48.8694758478931,1813,46.5827338129496,796,1055,1184,706,151,20.4522096608428,27.1068859198356,30.4213771839671,18.1397738951696,3.879753340185,"710"
