COUNTY,TOWN,vote10,vote11,vote12,vote13,vote14,vote15,各鄉鎮市區教會個數,KMT得票率,大學畢業比例,曾經結婚比例,年齡中位數,所得中位數
連江縣,南竿鄉,0.782430730478589,0.749764225086451,0.66307789740342,0.20678818353237,0.247882020709131,0.266060795988718,0,0.598523304107061,0.2932,0.6589,39.9167,79.5
連江縣,莒光鄉,0.764857881136951,0.7074122236671,0.617724867724868,0.237221494102228,0.244385733157199,0.263157894736842,0,0.650088809946714,0.2587,0.692,45.2857,75.2
連江縣,北竿鄉,0.780487804878049,0.748134328358209,0.672641509433962,0.201310861423221,0.229553903345725,0.246982358402971,0,0.750329380764163,0.277,0.6811,42.7333,70.3
連江縣,東引鄉,0.752613240418119,0.701754385964912,0.590909090909091,0.220614828209765,0.487410071942446,0.293594306049822,0,0.5625,0.234,0.6456,37.3333,86.4
金門縣,金湖鎮,0.796686913307565,0.741036741036741,0.652822625542813,0.233668903803132,0.234390540391203,0.24983344437042,2,0.381349782293179,0.2877,0.6851,41.1175,72
金門縣,金寧鄉,0.722489507626164,0.665983606557377,0.598329380220687,0.258590444742545,0.31032714593375,0.325361798214102,0,0.534016941596077,0.271,0.6197,39,71
金門縣,金沙鎮,0.833386581469649,0.780331030049815,0.684531450577664,0.214618473895582,0.190865384615385,0.202088353413655,1,0.378179043743642,0.2582,0.6966,45,68.6
金門縣,烈嶼鄉,0.815399802566634,0.760427010923535,0.677072927072927,0.195302843016069,0.20241023118544,0.213461066077131,0,0.452425960932577,0.2467,0.7054,45,67.9
金門縣,金城鎮,0.794082840236686,0.74270998415214,0.647324255858138,0.228589570600841,0.255522008580963,0.257467429297744,1,0.530339568532881,0.3139,0.6829,42.848,71.8
金門縣,烏坵鄉,0.847133757961784,0.786163522012579,0.710691823899371,0.272151898734177,0.229813664596273,0.233128834355828,0,0.292452830188679,0.2369,0.6802,41,75.4
宜蘭縣,壯圍鄉,0.739067674280377,0.673004453579993,0.598130841121495,0.549514232145901,0.351128818061089,0.350182433033728,0,0.441143001643697,0.1678,0.6666,43.3551,55.2
宜蘭縣,宜蘭市,0.711687709950191,0.658870255957635,0.597463346520828,0.476069885228382,0.336261245307077,0.353694488337539,7,0.470777173484669,0.2661,0.6401,40,61
宜蘭縣,頭城鎮,0.743085147594329,0.670977795091547,0.584803998125878,0.487393658159319,0.325709345280201,0.341802114565252,1,0.526684213473708,0.1633,0.6756,43,53.2
宜蘭縣,五結鄉,0.730406122562985,0.664651891649877,0.579818594104308,0.513321096835197,0.332360013740983,0.353256836216247,0,0.456989010018979,0.2051,0.6638,42.8032,55.9
宜蘭縣,冬山鄉,0.731592356687898,0.664079679213556,0.570520855846121,0.527796581485869,0.329731840666493,0.350697150775093,1,0.444718941419337,0.2062,0.6701,42,55.9
宜蘭縣,員山鄉,0.740119760479042,0.660832577923436,0.584129884734327,0.521931674398988,0.335710683668324,0.336224969276368,0,0.413953242915193,0.1739,0.6639,43,54.5
宜蘭縣,礁溪鄉,0.738063950941743,0.654366002388885,0.572679730325751,0.523436528658461,0.32627280847263,0.344539435623835,1,0.443499336900352,0.195,0.6653,43,55.8
宜蘭縣,大同鄉,0.87137049941928,0.810763381105586,0.746120058565154,0.357944732297064,0.206154987022618,0.19812382739212,0,0.839580209895052,0.0697,0.6981,36.6667,53.4
宜蘭縣,南澳鄉,0.855077701481749,0.799636363636364,0.68369917236416,0.258859784283513,0.184300341296928,0.204874333587205,0,0.864641620037304,0.0811,0.6917,34.6591,55.4
宜蘭縣,蘇澳鎮,0.739947408787115,0.675805729632945,0.562812673707615,0.524361696336219,0.325916746465386,0.345079936951137,1,0.478543398455631,0.1608,0.6793,44,55.4
宜蘭縣,羅東鎮,0.716441370638164,0.65932262239197,0.591891720552808,0.499889683865477,0.345472030774163,0.363624674531486,6,0.513221922531491,0.2527,0.6544,39,59.5
宜蘭縣,三星鄉,0.727977375091652,0.683317525555907,0.587143311764082,0.539737532808399,0.317833698030635,0.33913421796824,0,0.459047474594267,0.1677,0.6852,46.3631,54.1
新竹縣,竹北市,0.690795134919921,0.66010296010296,0.613743953229687,0.395610118078971,0.351587744455547,0.362565054314675,4,0.325753918255361,0.433,0.7024,36,102.1
新竹縣,湖口鄉,0.76084631615458,0.703850065378469,0.617003268736867,0.355834136933462,0.287180241105557,0.3050758152333,3,0.388396572827417,0.2379,0.6587,38,61.1
新竹縣,橫山鄉,0.7940899088337,0.728875476493012,0.592233009708738,0.346135534042216,0.260590500641849,0.278764602336374,0,0.426603884638022,0.1671,0.6848,46,67.4
新竹縣,關西鎮,0.785070214338507,0.716691505216095,0.625543071161049,0.356950269622528,0.272857358035849,0.284578696343402,0,0.347181351335757,0.1874,0.6793,45,57.9
新竹縣,新埔鎮,0.770213309490356,0.703801888012414,0.616151866151866,0.360938001927401,0.280132192846034,0.298872180451128,0,0.349449449449449,0.2314,0.6739,43.4244,59.9
新竹縣,峨眉鄉,0.796644984594317,0.7317753749564,0.643931444561035,0.385793871866295,0.245808062789868,0.266810499820209,0,0.51943793911007,0.151,0.7197,50,55.7
新竹縣,尖石鄉,0.86105722599418,0.773648648648649,0.690256907416384,0.395216741405082,0.190756302521008,0.20079185520362,0,0.50132579105533,0.0847,0.6644,34,53.5
新竹縣,新豐鄉,0.759087066779375,0.70125875258024,0.626453133891554,0.373617436564737,0.290108811257465,0.299077679852429,1,0.32906898861353,0.2563,0.6615,37.3995,64.1
新竹縣,寶山鄉,0.736116796288716,0.682592438720399,0.596280087527352,0.383209672987084,0.313209637219607,0.36227253785248,0,0.445583680444302,0.2935,0.6792,42.9677,67.4
新竹縣,五峰鄉,0.837978271138404,0.748582230623819,0.642214860388074,0.344191096634093,0.206190975865687,0.206510138740662,0,0.439899307740718,0.0644,0.7113,40,50.9
新竹縣,芎林鄉,0.754106723803694,0.697936980396182,0.631882862445865,0.351163993792033,0.287570151735606,0.29873391231558,1,0.389301397205589,0.2466,0.6673,42.4538,61.5
新竹縣,北埔鄉,0.770838013929454,0.705405405405405,0.612684031710079,0.367945823927765,0.279699590350478,0.352365787079163,0,0.446901226597805,0.167,0.6812,45,55.9
新竹縣,竹東鎮,0.750995775497888,0.701034432519062,0.626386755419014,0.34293566275703,0.299603809336319,0.30900728059819,3,0.409176186108563,0.2786,0.6617,39,66.1
苗栗縣,三灣鄉,0.79000632511069,0.704964990451941,0.601319509896324,0.361487551213363,0.254372019077901,0.275096525096525,1,0.652440462155152,0.1648,0.7085,47,53.9
苗栗縣,獅潭鄉,0.820230607966457,0.742584745762712,0.62486602357985,0.352480417754569,0.234787291330102,0.264643237486688,1,0.678583250579278,0.1064,0.7297,52,54.1
苗栗縣,三義鄉,0.784650924024641,0.717849295592607,0.617547952306895,0.339214934151643,0.253765932792584,0.279519938056523,4,0.566980308468329,0.1958,0.6713,42.1593,56.9
苗栗縣,苗栗市,0.763702009868817,0.713232431380183,0.629613388876708,0.331748380679751,0.28081957604767,0.314494030142885,9,0.591400762801943,0.267,0.6595,41,63.6
苗栗縣,頭份市,0.760524650269527,0.705349704012278,0.630749217268598,0.360385387040589,0.284244829191514,0.296836283185841,4,0.601973930631508,0.2543,0.671,38,62.2
