▓╬д@╜s╕╣,░╙╖~жW║┘,░╙╖~жaз},╡n░Oкм║A,╕gл╫,╜nл╫,├■зO
652797,┬╫пDе°╖~к└,╖sе_ел╖sй▒░╧жw▓╗╕Ї109л╤1з╦84╕╣,о╓ну│]е▀,121.4774987,24.9606639,д╞зйл~╣s░т╖~
1098852,е┐┬╫║X╝m┬зл~жц,╗Oе_ел╕U╡╪░╧╢}л╩╡є2мq74╕╣1╝╙,о╓ну│]е▀,121.505135,25.0469329,д╞зйл~╣s░т╖~
1101414,кўе▀╣q╛╣жц,╖sе_ел╛ЁкL░╧дде┐╕Ї248л╤28з╦20╕╣,о╓ну│]е▀,121.4184995,25.0080531,д╞зйл~╣s░т╖~
1103709,╥┤ион╡┼Tж╩│fй▒,╖sе_ел─кмw░╧лH╕q╕Їв▒впвп╕╣в▓╝╙,о╓ну│]е▀,121.4791762,25.0846551,д╞зйл~╣s░т╖~
1111588,и}╡╪жц,╗Oе_елдде┐░╧нл╝yлn╕Ї1мq88╕╣1╝╙,о╓ну│]е▀,121.513307,25.041934,д╞зйл~╣s░т╖~
1209745,мR▐│╣╧о╤├╪л~е°╖~к└,╖sе_ел─кмw░╧е├ен╡є16╕╣5╝╙,о╓ну│]е▀,121.4592861,25.0907306,д╞зйл~╣s░т╖~
1211334,╕qк▄н╙дHдuз@л╟,╖sе_ел╖s▓°░╧е┴жw╕Ї201╕╣2╝╙,о╓ну│]е▀,121.4262843,25.0223378,д╞зйл~╣s░т╖~
1232035,д═дHо╤з╜,╗Oе_елкQдs░╧дK╝w╕Ї3мq105╕╣бB105╕╣2╝╙,о╓ну│]е▀,121.553651,25.0483265,д╞зйл~╣s░т╖~
1272922,║√жhм№оeоaиужц,╗Oе_елдддs░╧дддsе_╕Ї3мq32дз2╕╣4╝╙,о╓ну│]е▀,121.522772,25.065066,д╞зйл~╣s░т╖~
1284526,еилaе°╖~к└,╗Oе_елдддs░╧╖sе═е_╕Ї3мq61╕╣9╝╙дз5,о╓ну│]е▀,121.5280981,25.0659966,д╞зйл~╣s░т╖~
1304924,жNж╧кA░╚к└,╗Oе_еллH╕q░╧кQ╝w╕Ї65╕╣11╝╙дз1,о╓ну│]е▀,121.576699,25.0384449,д╞зйл~╣s░т╖~
1330325,кF▓·║ыл~кA╣ве╓╛cй▒,╗Oе_елдддs░╧└Aжш╡є1дз3╕╣1╝╙,о╓ну│]е▀,121.5211106,25.0604887,д╞зйл~╣s░т╖~
1338255,┬▓╖Rмvжц,╗Oе_елдддs░╧╖sе═е_╕Ї3мq3л╤17╕╣1╝╙,о╓ну│]е▀,121.52807,25.0643629,д╞зйл~╣s░т╖~
1349555,┴и╗╒╝╞жь╝v╣│└],╗Oе_елдддs░╧лnи╩кF╕Ї2мq97╕╣2╝╙,о╓ну│]е▀,121.532259,25.0522894,д╞зйл~╣s░т╖~
1352333,жшез║ыл~й▒,╗Oе_елкQдs░╧е┴е═кF╕Ї3мq113л╤25з╦8дз1╕╣,о╓ну│]е▀,121.5467878,25.0594219,д╞зйл~╣s░т╖~
1393622,м№╢Qж╩│fжц,╗Oе_еле_зы░╧е·й·╕Ї╖sе═л╤14╕╣1╝╙,о╓ну│]е▀,121.5019438,25.1328157,д╞зйл~╣s░т╖~
1444164,н╗┤ф▓┤├шжц,╗Oе_ел╕U╡╪░╧жш╢щ╕Ї1мq240╕╣1╝╙,о╓ну│]е▀,121.4988088,25.0347657,д╞зйл~╣s░т╖~
1565271,┤Ё╡nм№оeзўо╞жц,╗Oе_елкQдs░╧е┴е═кF╕Ї5мq137л╤2╕╣3╝╙дз3,о╓ну│]е▀,121.5616209,25.0591908,д╞зйл~╣s░т╖~
1650311,─╫╡▄╢ом№╛vиF└sз{,╗Oе_еллn┤ф░╧лn┤ф╕Ї3мq3╕╣2╝╙,о╓ну│]е▀,121.5922201,25.0540578,д╞зйл~╣s░т╖~
1700059,╓Ў┤@└ж╡гж╩│fжц,╗Oе_елдхдs░╧├╣┤╡║╓╕Ї6мq258╕╣1╝╙,о╓ну│]е▀,121.5401459,24.9917968,д╞зйл~╣s░т╖~
1726305,кYкYм№зў║ыл~й▒,╗Oе_еле_зы░╧е█╡P╕Ї2мq68л╤1╕╣,о╓ну│]е▀,121.5163714,25.1164313,д╞зйл~╣s░т╖~
1750466,ж~ж~╡o┐│╖~к└,╗Oе_елдjжw░╧йMенкF╕Ї1мq71дз3╕╣1╝╙,о╓ну│]е▀,121.5243852,25.0267665,д╞зйл~╣s░т╖~
