統一編號,商業名稱,商業地址,登記狀態,經度,緯度,類別
1089452,趙炳菜肉餛飩小吃店,臺北市中正區桃源街5號,核准設立,121.510573,25.041903,餐館業
1090084,張家清真黃牛肉麵館,臺北市中正區延平南路21號,核准設立,121.510729,25.045733,餐館業
1094954,清真黃牛肉麵館,臺北市中正區延平南路23號,核准設立,121.510712,25.045677,餐館業
1106754,金菓園小吃店,臺北市中正區博愛路160巷9號,核准設立,121.510718,25.041737,餐館業
1148614,有佳小吃店,臺北市大同區長安西路53巷6號,核准設立,121.517566,25.051035,餐館業
1181367,阿興小吃店,臺北市中山區南京東路1段132巷21號,核准設立,121.527132,25.051111,餐館業
1186601,人和園餐廳,臺北市中山區錦州街16號,核准設立,121.524022,25.060258,餐館業
1230162,海家珍小吃店,臺北市中山區遼寧街61號,核准設立,121.542242,25.049002,餐館業
1266533,上嘉食品行,臺北市中山區長春路89之1號,核准設立,121.528273,25.05499,餐館業
1272401,新長春餐館,臺北市中山區中山北路2段36巷5號,核准設立,121.522136,25.054341,餐館業
1277715,松青素食館,臺北市中山區錦西街4之1號,核准設立,121.522373,25.060219,餐館業
1301124,圓重羊肉爐小吃店,臺北市中山區民權東路2段135巷31號,核准設立,121.53509,25.064318,餐館業
1305114,聯美自助餐行,臺北市中山區合江街45號,核准設立,121.539203,25.055893,餐館業
1322373,豬小寶食品行,臺北市中山區興安街118號,核准設立,121.543343,25.055945,餐館業
1338918,九記小吃店,臺北市中山區長春路104號,核准設立,121.528037,25.054788,餐館業
1345592,一茶一座小吃店,臺北市中山區興安街114號,核准設立,121.543135,25.055945,餐館業
1346488,恆園小吃店,臺北市中山區興安街116號,核准設立,121.543264,25.055945,餐館業
1376187,湖田橋小吃店,臺北市北投區竹子湖路29之1號,核准設立,121.538656,25.170456,餐館業
1394782,尊賢餐飲店,臺北市北投區尊賢街243巷1號,核准設立,121.507109,25.117008,餐館業
1398014,超群冬粉小吃,臺北市北投區永興路1段21號,核准設立,121.499814,25.139098,餐館業
1398555,鳳凰薑母鴨店,臺北市北投區崇仁路1段29號,核准設立,121.501411,25.127521,餐館業
1398675,山園餐館,臺北市北投區竹子湖路20之1號,核准設立,121.540386,25.169582,餐館業
1399055,水尾青菜園餐飲,臺北市北投區竹子湖路55之11號,核准設立,121.530868,25.177303,餐館業
1399246,杉木林餐館,臺北市北投區竹子湖路55之12號,核准設立,121.530871,25.177714,餐館業
1402679,頂湖小鎮小吃店,臺北市北投區竹子湖路68號,核准設立,121.540011,25.177114,餐館業
1404162,元緣圓茶藝行,臺北市北投區承德路7段臨1之3號,核准設立,121.51057,25.110722,餐館業
1404867,林益全小吃店,臺北市北投區明德路168號,核准設立,121.521182,25.111133,餐館業
1409048,鏵江川菜館,臺北市萬華區環河南路2段201號,核准設立,121.491639,25.032147,餐館業
1481532,郁坊小館,臺北市中正區延平南路163巷2號,核准設立,121.507802,25.035098,餐館業
1481809,杏味早餐店,臺北市中正區延平南路230巷5號,核准設立,121.507034,25.033984,餐館業
1494261,富盛小吃店,臺北市中正區羅斯福路4段24巷12弄10之1號,核准設立,121.533001,25.01477,餐館業
1526405,三明洋行,臺北市士林區天母東路49之1號,核准設立,121.532931,25.118219,餐館業
1580147,伍佰雞邨食品行,臺北市大安區仁愛路4段375號,核准設立,121.554845,25.038341,餐館業
1594698,湖南鳳凰小館,臺北市松山區光復北路11巷69號,核准設立,121.560481,25.050194,餐館業
1597908,吳記毛肚火鍋店,臺北市松山區八德路4段145號,核准設立,121.56237,25.048777,餐館業
1598391,順發號蚵仔煎,臺北市信義區吳興街269巷5號,核准設立,121.564518,25.027263,餐館業
1603346,馥雅花坊,臺北市信義區忠孝東路5段790巷20弄3號,核准設立,121.58203,25.042821,餐館業
1645161,黃佳群商店,臺北市南港區研究院路2段70巷35號,核准設立,121.61395,25.04558,餐館業
1653128,太郎日本料理店,臺北市內湖區民權東路6段106號,核准設立,121.586686,25.068835,餐館業
1659299,来来豆漿店,臺北市內湖區內湖路1段93號,核准設立,121.561421,25.084537,餐館業
1677938,昶和邊銼小吃店,臺北市南港區南港路2段20巷7號,核准設立,121.605387,25.05441,餐館業
1679078,呅呅食品行,臺北市南港區舊庄街1段88號,核准設立,,,餐館業
1705625,大頭土雞城餐廳,臺北市文山區指南路3段38巷18之2號,核准設立,121.587598,24.968365,餐館業
1706434,康迪麥小吃店,臺北市文山區木柵路2段80號,核准設立,121.55975,24.988632,餐館業
1707551,鼎盛企業社,臺北市文山區景華街128巷27號,核准設立,121.547975,24.994923,餐館業
1718115,雙橡園茶坊,臺北市文山區指南路3段38巷33之6號,核准設立,121.591129,24.967416,餐館業
1719992,山中茶坊,臺北市文山區指南路3段38巷33號,核准設立,121.590702,24.967069,餐館業
1720674,正大休閒茶館,臺北市文山區指南路3段38巷臨33之5號,核准設立,121.591132,24.96706,餐館業
1721532,茗華園茶坊,臺北市文山區指南路3段40巷32之1號,核准設立,121.601587,24.970446,餐館業
1721580,談天園茶行,臺北市文山區指南路3段38巷14之3號,核准設立,121.58514,24.968581,餐館業
1721603,相逢居茶坊,臺北市文山區指南路3段40巷12號,核准設立,121.595096,24.968043,餐館業
1721651,寒舍茶坊,臺北市文山區指南路3段40巷6號,核准設立,121.594191,24.969223,餐館業
1721701,春茶鄉茶坊,臺北市文山區指南路3段38巷30號,核准設立,121.586378,24.966437,餐館業
1723882,美加茶園,臺北市文山區指南路3段38巷19號,核准設立,121.587662,24.971563,餐館業
1725376,芳鄰早餐店,臺北市文山區木柵路1段157號,核准設立,121.550544,24.987664,餐館業
1727085,小頑皮牛排店,臺北市文山區景美街147號,核准設立,121.54156,24.989392,餐館業
1730005,名傳切仔麵店,臺北市北投區石牌路2段183號,核准設立,121.518218,25.1186,餐館業
1738082,瑞安自助餐店,臺北市大安區瑞安街208巷22號,核准設立,121.540492,25.028638,餐館業
1738317,溫厚美食館,臺北市大安區師大路59巷10號,核准設立,121.529105,25.023892,餐館業
1753604,爾雅小吃店,臺北市大安區泰順街38巷25號,核准設立,121.529772,25.024675,餐館業
1764095,談話頭小吃店,臺北市大安區信義路4段143號,核准設立,121.549612,25.033457,餐館業
1767728,闔家小館,臺北市大安區仁愛路4段122巷49號,核准設立,121.550312,25.034556,餐館業
1776347,川味老張牛肉麵店,臺北市大安區愛國東路105號,核准設立,121.528688,25.031502,餐館業
1789906,林園粗食小吃店,臺北市大安區龍泉街25號,核准設立,121.52947,25.024402,餐館業
1790930,邊氏小吃店,臺北市大安區和平東路1段45號,核准設立,121.524131,25.027174,餐館業
1793373,福品小吃店,臺北市大安區羅斯福路2段15巷15號,核准設立,121.522334,25.028194,餐館業
1793520,福儐小吃店,臺北市大安區和平東路3段232號,核准設立,121.554712,25.02207,餐館業
1794106,月牙泉蔎品屋,臺北市大安區永康街6之7號,核准設立,121.529618,25.032341,餐館業
1799290,成都老么牛肉麵店,臺北市大安區復興南路1段340巷26號,核准設立,121.542421,25.036034,餐館業
1801303,釣以清心餐飲店,臺北市大安區仁愛路4段300巷25弄9號,核准設立,121.554892,25.035899,餐館業
1805315,石家割包店,臺北市大安區通化街39巷49弄18號,核准設立,121.55552,25.031148,餐館業
1826183,碳場咖啡,新北市平溪區新北市平溪區菁桐街50號,核准設立,,,餐館業
1843768,快樂餐坊,新北市淡水區淡金路4段552號,核准設立,121.451943,25.227333,餐館業
1848004,祥玉企業行,新北市中和區永和路69巷5號,核准設立,121.496177,25.006073,餐館業
1852153,卡帕卡巴小吃店,臺北市士林區基河路臨131號,核准設立,121.523755,25.08848,餐館業
1914566,好來運粵菜館,新北市板橋區中正路２０３號,核准設立,121.456208,25.017345,餐館業
1921258,一品堂精緻涮涮鍋,新北市板橋區國光路69號,核准設立,121.459285,25.018192,餐館業
1929224,烏龍伯古味店,新北市板橋區３民路２段１５９號,核准設立,,,餐館業
1933260,銘淵商行,新北市板橋區北門街38號,核准設立,121.457104,25.011078,餐館業
1980684,厚成企業社,新北市新莊區建國二路83之9號,核准設立,121.431215,25.025702,餐館業
1989242,宏益水果行,新北市三重區中正北路111號,核准設立,121.486998,25.064549,餐館業
2083603,素好呷膳坊,新北市土城區學府路1段41號,核准設立,121.457778,24.988351,餐館業
2085193,書吟江浙館,新北市永和區水源街30巷17號,核准設立,121.511078,25.005057,餐館業
2085285,大紅豆食品行,新北市三重區車路頭街131巷28號,核准設立,121.485453,25.075981,餐館業
2085428,華興五味臭臭鍋,新北市板橋區華興街85號,核准設立,121.456779,25.005136,餐館業
2089016,美人魚彩藝企業社,新北市淡水區中正路245號,核准設立,121.43398,25.174098,餐館業
2099252,全鑫行,新北市新莊區瓊林路瓊英巷4弄2之2號,核准設立,121.443668,25.027618,餐館業
2102279,香之味小吃店,新北市新店區安民街232號,核准設立,121.517546,24.972599,餐館業
2102539,京典小吃店,新北市板橋區廣權路35號,核准設立,121.462605,24.991692,餐館業
2102860,品味小吃店,新北市樹林區保安街1段222號,核准設立,121.420532,24.996413,餐館業
2105156,品樂小吃店,新北市泰山區工專路5號,核准設立,121.424053,25.039326,餐館業
2106198,褚家油飯行,新北市八里區華峰三街36號,核准設立,121.399362,25.146033,餐館業
2107719,三芝煙燻小棧,新北市三芝區中興街1段27號,核准設立,121.497211,25.258229,餐館業
2107773,源鄉便當店,新北市三峽區有木里有木135號,核准設立,121.43766,24.852726,餐館業
2108169,一品自助餐,新北市新莊區天祥街89號,核准設立,121.415266,25.029427,餐館業
2108344,海洋深呼吸小吃店,新北市三芝區土地公坑54之3號,核准設立,121.466979,25.250096,餐館業
2108626,千歲町小吃店,新北市永和區永和路2段235之2號,核准設立,121.515322,25.014361,餐館業
2109218,佳園素食,新北市樹林區佳園路3段23號,核准設立,121.388245,24.954493,餐館業
2109913,一碗担仔麵小吃店,新北市汐止區忠孝東路436號,核准設立,121.666145,25.072329,餐館業
2109929,威林音樂企業社,新北市板橋區館前東路112號,核准設立,121.463449,25.007537,餐館業
2110340,周家食堂,新北市中和區仁愛街4號,核准設立,121.510514,24.989258,餐館業
2110616,菁桐崇德素食,新北市平溪區菁桐街85號,核准設立,121.725435,25.023841,餐館業
2110643,拾貳喵生活道具製造社,新北市新店區寶宏路7號,核准設立,121.549385,24.976107,餐館業
2111657,善朋企業社,新北市中和區中正路55號,核准設立,121.501607,24.993351,餐館業
2113135,三寶港式燒臘店,新北市中和區圓通路331號,核准設立,121.492169,24.990582,餐館業
2113450,耍飽專賣店,新北市淡水區學府路51巷1弄14-1號,核准設立,121.447399,25.169118,餐館業
2113466,大夢草堂,新北市新店區裕合街359號,核准設立,121.489169,24.948334,餐館業
